Country,Division,Category,Next URL,Source URL
Germany,Home,Bed Sheets,https://www.next.de/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.beliani.de/textiles/bed-sheets/
Germany,Home,Ceiling Lights,https://www.next.de/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.otto.de/lampen/deckenleuchten/
Germany,Home,Ceiling Lights,https://www.next.de/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.ikea.com/de/en/cat/ceiling-lights-18750/
Germany,Home,Ceiling Lights,https://www.next.de/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.beliani.de/lighting/ceiling-lights/
Germany,Home,Curtains,https://www.next.de/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.otto.de/heimtextilien/gardinen/?ansicht=einstieg
Germany,Home,Curtains,https://www.next.de/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.ikea.com/de/en/cat/curtains-10700/
Germany,Home,Cushions,https://www.next.de/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.otto.de/heimtextilien/kissen/dekokissen/
Germany,Home,Cushions,https://www.next.de/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.ikea.com/de/en/cat/cushions-18902/
Germany,Home,Cushions,https://www.next.de/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.beliani.de/textiles/scatter-cushions/
Germany,Home,Bath Mats,https://www.next.de/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.otto.de/heimtextilien/badematten/
Germany,Home,Bath Mats,https://www.next.de/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.ikea.com/de/en/cat/bath-mats-20519/
Germany,Home,Bath Mats,https://www.next.de/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.beliani.de/bathroom-furniture/bathroom-mats/
Germany,Home,Table Lamps,https://www.next.de/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.otto.de/lampen/tischleuchten/
Germany,Home,Table Lamps,https://www.next.de/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com/de/en/cat/table-lamps-10732/
Germany,Home,Table Lamps,https://www.next.de/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.beliani.de/lighting/table-lamps/
United Arab Emirates,Home,Bed Sets,https://www.next.ae/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com/ae/en/cat/duvet-covers-bedding-sets-10680/
United Arab Emirates,Home,Bed Sets,https://www.next.ae/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.homecentre.com/ae/en/c/household-bedding-comfortersandbedspreads-bedspreads
United Arab Emirates,Home,Bed Sets,https://www.next.ae/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.zarahome.com/ae/bedroom-duvet-covers-n946
United Arab Emirates,Home,Towels,https://www.next.ae/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.ikea.com/ae/en/cat/towels-20520/
United Arab Emirates,Home,Towels,https://www.next.ae/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.homecentre.com/ae/en/c/household-bathandlaundry-bathlinen-towels
United Arab Emirates,Home,Towels,https://www.next.ae/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.zarahome.com/ae/bathroom-towels-n1051
United Arab Emirates,Home,Bed Sheets,https://www.next.ae/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.ikea.com/ae/en/cat/sheets-10681/
United Arab Emirates,Home,Bed Sheets,https://www.next.ae/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.homecentre.com/ae/en/c/household-bedding-sheetsandpillowcases
