Country,Category,Next,IKEA,Very,Dunnes,Home Store + More
,Cushions,https://www.next.ae/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.ikea.com/ae/en/cat/bath-mats-20519/,https://www.homecentre.com/ae/en/c/household-cushionsandthrows-filledcushions,https://www.zarahome.com/ae/home-decor-cushions-couch-living-room-n994,
,Bath Mats,https://www.next.ae/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,,https://www.homecentre.com/ae/en/c/household-bathandlaundry-bathlinen-bathmatsandtubmats,https://www.zarahome.com/ae/bathroom-bathmats-n1052,
,Table Lamps,https://www.next.ae/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com/ae/en/cat/table-lamps-10732/,https://www.homecentre.com/ae/en/c/household-lighting-tableanddesklamps,https://www.zarahome.com/ae/lighting-lamps-table-n4881,
,,,,,,
,,,IKEA,Homecentre,,
Israel,Bed Sets,https://www.next.co.il/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com/il/he/cat/duvet-covers-bedding-sets-10680/,https://www.homecenter.co.il/collections/bedding-set,,
,Towels,https://www.next.co.il/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.ikea.com/il/he/cat/towels-20520/,https://www.homecenter.co.il/collections/bathroom-textiles,,
,Bed Sheets,https://www.next.co.il/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.ikea.com/il/he/cat/sheets-10681/,,,
,Ceiling Lights,https://www.next.co.il/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.ikea.com/il/he/cat/ceiling-lights-18750/,https://www.homecenter.co.il/collections/ceiling-lamps,,
,Curtains,https://www.next.co.il/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.ikea.com/il/he/cat/curtains-10700/,,,
,Cushions,https://www.next.co.il/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.ikea.com/il/he/cat/cushions-18902/,https://www.homecenter.co.il/collections/cushions,,
,Bath Mats,https://www.next.co.il/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.ikea.com/il/he/cat/bath-mats-20519/,https://www.homecenter.co.il/collections/bath-mat,,
,Table Lamps,https://www.next.co.il/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com/il/he/cat/table-lamps-10732/,https://www.homecenter.co.il/collections/desk-lamp,,
,,,,,,
,,,IKEA,Homecentre,Zara Home,
Saudi Arabia,Bed Sets,https://www.next.sa/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com/sa/en/cat/duvet-covers-bedding-sets-10680/,https://www.homecentre.com/sa/en/c/household-bedding-comfortersandbedspreads-bedspreads,https://www.zarahome.com/sa/en/bedroom-duvet-covers-n946,
,Towels,https://www.next.sa/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.ikea.com/sa/en/cat/towels-20520/,https://www.homecentre.com/sa/en/c/household-bathandlaundry-bathlinen-towels,https://www.zarahome.com/sa/en/bathroom-towels-n1051,
,Bed Sheets,https://www.next.sa/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.ikea.com/sa/en/cat/sheets-10681/,https://www.homecentre.com/sa/en/c/household-bedding-sheetsandpillowcases,https://www.zarahome.com/sa/en/bedroom-basic-sheets-n1799,
,Ceiling Lights,https://www.next.sa/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.ikea.com/sa/en/cat/ceiling-lights-18750/,https://www.homecentre.com/sa/en/c/household-lighting-ceilinglamps-pendantlamps,N/A,
,Curtains,https://www.next.sa/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.ikea.com/sa/en/cat/curtains-10700/,https://www.homecentre.com/sa/en/c/household-windows-curtains,https://www.zarahome.com/sa/en/home-decor-curtains-blinds-n996,
,Cushions,https://www.next.sa/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.ikea.com/sa/en/cat/cushions-18902/,https://www.homecentre.com/sa/en/c/household-cushionsandthrows-filledcushions,https://www.zarahome.com/sa/en/home-decor-cushions-couch-living-room-n994,
,Bath Mats,https://www.next.sa/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.ikea.com/sa/en/cat/bath-mats-20519/,https://www.homecentre.com/sa/en/c/household-bathandlaundry-bathlinen-bathmatsandtubmats,https://www.zarahome.com/sa/en/bathroom-bathmats-n1052,
,Table Lamps,https://www.next.sa/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com/sa/en/cat/table-lamps-10732/,https://www.homecentre.com/sa/en/c/household-lighting-tableanddesklamps,,
,,,,,,
,,,IKEA,Myer,,
